"CustomerID","CustomerName","CustomerType","CustomerRiskClass","CustomerRiskLevel","IsCharityOrg","IsClosed","IsCorrBank","IsFEP","IsMSB","IsOffshoreBank","IsPEP","IsPSP","IsCIB","IsNBFI","IsFCB"
"116  BI PE I000","116-BISCAYNE PETROLEUM, INC.","B","LowRisk","Low","","","","","","","","","","",""
"116  BI PE I001","116 BISCAYNE PETROLEUM INC","B","LowRisk","Low","","","","","","","","","","",""
"1185 INV LL 000","1185 INVESTMENTS LLC","B","LowRisk","Low","","","","","","","","","","",""
"120  S  W 5A000","120 S.W. 5TH AVENUE, INC.","B","LowRisk","Low","","","","","","","","","","",""
"120  SW 5 AI000","120 SW 5TH AVENUE INC","B","LowRisk","Low","","","","","","","","","","",""
"1201 MA CO L000","1201 MANAGEMENT CO LLC","B","LowRisk","Low","","","","","","","","","","",""
"1201 MA CO L001","1201 MANAGEMENT CO. LLC","B","LowRisk","Low","","","","","","","","","","",""
"122  AV RA L000","122 AVENUE RANCH LLC","B","LowRisk","Low","","","","","","","","","","",""
"1234 ENT IN 000","123456 ENTERPRISES INC","B","LowRisk","Low","","","","","","","","","","",""
"1234 ENT IN 001","123456 ENTERPRISES, INC","B","LowRisk","Low","","","","","","","","","","",""
"1235 PRO LL 000","12350 PROPERTY, LLC","B","DefClass","","","","","","","","","","","",""
"12AV CO SE I000","12 AVENUE COPY SERVICE, INC.","B","LowRisk","Low","","","","","","","","","","",""
"12AV CO SE I001","12 AVENUE COPY SERVICE INC","B","LowRisk","Low","","","","","","","","","","",""
"1301 INV LL 000","1301 INVESTMENT, LLC","B","LowRisk","Low","","","","","","","","","","",""
"1301 INV LL 001","1301 INVESTMENT LLC","B","LowRisk","Low","","","","","","","","","","",""
"1401 SW 4 AL000","1401 SW 42 AVE LLC","B","MediumRisk","Medium","","","","","","","","","","",""
"1421 HOL IN 000","1421 HOLDINGS, INC","B","LowRisk","Low","","","","","","","","","","",""
"1421 HOL IN 001","1421 HOLDINGS INC","B","LowRisk","Low","","","","","","","","","","",""
"147  AV IN I000","147 AVENUE INVESTMENTS INC","B","LowRisk","Low","","","","","","","","","","",""
"1486 INV IN 000","14860 INVESTMENT INC","B","LowRisk","Low","","","","","","","","","","",""
"150T ST EN L000","150TH STREET ENERGY LLC","B","LowRisk","Low","","","","","","","","","","",""
"1515 MI R HL000","1515 MIAMI RIVER HOLDINGS LLC","B","LowRisk","Low","","","","","","","","","","",""
"1515 MI RI L000","1515 MIAMI RIVER LLC","B","MediumRisk","Medium","","","","","","","","","","",""
"1520 SAL CO 000","1520 SALZEDO CONDOMINIUM","B","LowRisk","Low","","","","","","","","","","",""
"1530 N  E 1S000","1530 N E 130TH STREET CORP","B","LowRisk","Low","","","","","","","","","","",""
"15TH AV RE I000","15TH AVE. REALTY, INC.","B","LowRisk","Low","","","","","","","","","","",""
"15TH AV RE I001","15TH AVE REALTY INC","B","LowRisk","Low","","","","","","","","","","",""
"163  6  PE I000","163-6 PETROLEUM INC","B","LowRisk","Low","","","","","","","","","Y","",""
"163  ST AP I000","163 STREET APTS INC","B","LowRisk","Low","","","","","","","","","","",""
"1661 PRO LL 000","1661 PROPERTY, LLC","B","LowRisk","Low","","","","","","","","","","",""
"1661 WE F SI000","1661 WEST FLAGLER ST INC","B","LowRisk","Low","","","","","","","","","","",""
"1668 SUB IN 000","1668 SUBWAY  INC","B","HighRisk","High","","","","","","","","","Y","",""
"169  ENT IN 000","169 ENTERPRISE, INC.","B","LowRisk","Low","","","","","","","","","","",""
"169  ENT IN 001","169 ENTERPRISE INC","B","LowRisk","Low","","","","","","","","","","",""
"1702 GR H IL001","1702 GROVENOR HOUSE INVESTMENTS LLC","B","LowRisk","Low","","","","","","","","","","",""
"1814 HA ST L000","1814 HARRISON STREET LLC","B","LowRisk","Low","","","","","","","","","","",""
"1814 HA ST L001","1814 HARRISON STREET, LLC","B","LowRisk","Low","","","","","","","","","","",""
"1900 NW 1 AL000","1900 NW 110 AVENUE LLC","B","MediumRisk","Medium","","","","","","","","","","",""
"195  INV IN 000","195 INVESTMENTS INC","B","LowRisk","Low","","","","","","","","","","",""
"1975 NO HO L000","1975 NORMANDY HOLDINGS LLC","B","LowRisk","Low","","","","","","","","","","",""
"1985 N  E 1S000","1985 NE 168TH STREET LLC","B","LowRisk","Low","","","","","","","","","","",""
"1SOU FL M LI000","1 SOUTH FLORIDA MANAGEMENT LLC  (IN","B","LowRisk","Low","","","","","","","","","","",""
"1SOU FL MA L000","1 SOUTH FLORIDA MANAGEMENT LLC","B","LowRisk","Low","","","","","","","","","","",""
"1ST  IN BR I000","1ST INSURANCE BROKERS, INC,","B","LowRisk","Low","","","","","","","","","","",""
"1ST  IN BR I001","1ST INSURANCE BROKERS INC","B","LowRisk","Low","","","","","","","","","","",""
"1ST  NA B SF000","1ST NATIONAL BANK OF SOUTH FLORIDA","B","LowRisk","Low","","","","","","","","","","",""
"2001 FURNI  000","MOMBACHO CORP","B","LowRisk","Low","","","","","","","","","","",""
"2012 BE M IT000","2012 BERNA MONTALVAN IRREVOCABLE TR","B","LowRisk","Low","","","","","","","","","","",""
"204  NW 1 AI000","204 NW 12 AV INC","B","LowRisk","Low","","","","","","","","","","",""
"2057 BUI LL 000","2057 BUILDING, LLC","B","LowRisk","Low","","","","","","","","","","",""
"2057 BUI LL 001","2057 BUILDING LLC","B","LowRisk","Low","","","","","","","","","","",""
"20IR INV LL 000","20 IRR INVESTMENTS LLC","B","LowRisk","Low","","","","","","","","","","",""
"20IR INVES  000","20 IRR INVESTMENT","B","LowRisk","Low","","","","","","","","","","",""
"2103 CO W AL000","2103 CORAL WAY ASSOCIATES, LTD.","B","LowRisk","Low","","","","","","","","","","",""
"2103 CO W AL001","2103 CORAL WAY ASSOCIATES LTD","B","LowRisk","Low","","","","","","","","","","",""
"2112 EXP CO 000","2112 EXPORT CORP","B","LowRisk","Low","","","","","","","","","","",""
"2130 S  D HI000","21301 S DIXIE HIGWAY INC","B","LowRisk","Low","","","","","","","","","","",""
"219  NW 1 AI000","219 NW 12 AV. INC.","B","LowRisk","Low","","","","","","","","","","",""
"219  NW 1 AI001","219 NW 12 AVE INC","B","LowRisk","Low","","","","","","","","","","",""
"21IR INV LL 000","21 IRR INVESTMENT LLC","B","LowRisk","Low","","","","","","","","","","",""
"21IR INV LL 001","21 IRR INVESTMENTS LLC","B","LowRisk","Low","","","","","","","","","","",""
"21ST CE PE I000","21ST. CENTURY PETROLEUM INC","B","LowRisk","Low","","","","","","","","","","",""
"21ST CE PE I001","21ST CENTURY PETROLEUM INC","B","LowRisk","Low","","","","","","","","","","",""
"2201 ENT IN 000","2201 ENTERPRISE,INC.","B","LowRisk","Low","","","","","","","","","","",""
"2201 ENT IN 001","2201 ENTERPRISE INC","B","LowRisk","Low","","","","","","","","","","",""
"2221 MO S AL000","2221 MONROE ST APTS LLC","B","LowRisk","Low","","","","","","","","","","",""
"2230 HOL CO 000","2230 HOLDING CORP","B","LowRisk","Low","","","","","","","","","","",""
"2316 INV IN 000","2316 INVESTMENT, INC.","B","LowRisk","Low","","","","","","","","","","",""
"2316 INV IN 001","2316 INVESTMENT INC","B","LowRisk","Low","","","","","","","","","","",""
"2325 TA S AL000","2325 TAYLOR ST APTS LLC","B","LowRisk","Low","","","","","","","","","","",""
"2331 SH CE I000","2331 SHOPPING CENTER INC","B","LowRisk","Low","","","","","","","","","","",""
"2400 COR IN 000","2400 CORP","B","LowRisk","Low","","","","","","","","","","",""
"2400 INV LL 000","2400 INVESTMENT, LLC","B","LowRisk","Low","","","","","","","","","","",""
"2400 INV LL 001","2400 INVESTMENT LLC","B","LowRisk","Low","","","","","","","","","","",""
"24HO EM B BI001","24 HOURS EMERGENCY BAIL BONDS INC","B","LowRisk","Low","","","","","","","","","","",""
"2550 FO R EH000","2550 FORZA REAL ESTATE HOLDINGS LLC","B","HighRisk","High","","","","","","","","","","",""
"26AV INV IN 000","26 AVENUE INVESTMENT INC","B","LowRisk","Low","","","","","","","","","","",""
"2741 CO WA L000","2741 CORAL WAY LLC","B","LowRisk","Low","","","","","","","","","","",""
"2777 NOR LL 000","2777 NORTHWEST LLC","B","LowRisk","Low","","","","","","","","","","",""
"27AV PL IN I000","27 AVENUE PLAZA INVESTMENT INC","B","LowRisk","Low","","","","","","","","","","",""
"27RE LLC    001","27 RECYCLING LLC","B","LowRisk","Low","","","","","","","","","","",""
"27TH AV P E1000","27TH AVENUE PETROLEUM ENTERPRISES 1","B","LowRisk","Low","","","","","","","","","","",""
"27TH AV P E1001","27TH AVENUE PETROLEUM ENTERPRISES #","B","LowRisk","Low","","","","","","","","","","",""
"27TH AVE PA 000","27TH AVENUE PARTNERS","B","LowRisk","Low","","","","","","","","","","",""
"2819 LLC    000","2819 LLC","B","LowRisk","Low","","","","","","","","","","",""
"2BRO TRA IN 000","2 BROTHERS TRANSPORT INC.","B","LowRisk","Low","","","","","","","","","","",""
"2BRO TRA IN 001","2 BROTHERS TRANSPORT INC","B","LowRisk","Low","","","","","","","","","","",""
"2CAL TEL IN 000","2CALLVOIP TELECOM INC","B","LowRisk","Low","","","","","","","","","","",""
"2OCE FOO LL 000","2 OCEAN FOODS LLC","B","LowRisk","Low","","","","","","","","","","",""
"2SOU SH DR L000","2 SOUTH SHORE DRIVE LLC","B","LowRisk","Low","","","","","","","","","","",""
"3000 INV IN 000","3000 INVESTMENT,INC","B","LowRisk","Low","","","","","","","","","","",""
"3000 INV IN 001","3000 INVESTMENT INC","B","LowRisk","Low","","","","","","","","","","",""
"305  4  LI L000","305 4 LIFE LLC","B","MediumRisk","Medium","","","","","","","","","","",""
"305  69 ST C000","305 69 STREET CORP","B","LowRisk","Low","","","","","","","","","","",""
"3064 GA ST L000","3064 GATSBY ST LLC","B","MediumRisk","Medium","","","","","","","","","","",""
"3101 31 IN I000","3101-3137 INVESTMENT INC","B","LowRisk","Low","","","","","","","","","","",""
"3101 66 SO A000","3101664688 SOCIEDAD ANONIMA","B","HighRisk","High","","","","","","","","","Y","",""
"3121 COM CO 000","3121 COMMODORE CORP.","B","LowRisk","Low","","","","","","","","","","",""
"3121 COM CO 001","3121 COMMODORE CORP","B","LowRisk","Low","","","","","","","","","","",""
"3165 ELI LL 000","3165 ELIZABETH LLC","B","LowRisk","Low","","","","","","","","","","",""
"3226 INV IN 000","3226 INVESTMENT, INC.","B","LowRisk","Low","","","","","","","","","","",""
"3226 INV IN 001","3226 INVESTMENT INC","B","LowRisk","Low","","","","","","","","","","",""
"3251 INV IN 001","3251 INVESTMENT INC","B","LowRisk","Low","","","","","","","","","","",""
"3256 HIL LL 000","3256 HILLSBORO LLC","B","LowRisk","Low","","","","","","","","","","",""
"3262 ENE LL 000","3262 ENERGY LLC","B","LowRisk","Low","","","","","","","","","","",""
"32CA DRI LL 000","32 CAMDEN DRIVE LLC","B","LowRisk","Low","","","","","","","","","","",""
"345  WOO LL 000","345 WOODCREST LLC","B","LowRisk","Low","","","","","","","","","","",""
"350  INV LL 000","350 INVESTMENTS LLC","B","LowRisk","Low","","","","","","","","","","",""
"350  SO S DC000","350 SOUTH SHORE DRIVE CONDOMINIUM A","B","LowRisk","Low","","","","","","","","","","",""
"3551 CORPO  000","3551 CORPORATION","B","LowRisk","Low","","","","","","","","","","",""
"3AM  HOL LL 000","3AM HOLDINGS, LLC","B","LowRisk","Low","","","","","","","","","","",""
"3DNA LLC    000","3DNA LLC","B","MediumRisk","Medium","","","","","","","","","","",""
"3DP  LLC    000","3DP,LLC","B","LowRisk","Low","","","","","","","","","","",""
"3DP  LLC    001","3DP LLC","B","LowRisk","Low","","","","","","","","","","",""
"3DSO SA DE C000","3 D SOLUTIONS SA DE CV","B","LowRisk","Low","","","","","","","","","","",""
"3FAM LEN CO 000","3F AMERICAN LENDING CORPORATION","B","MediumRisk","Medium","","","","","","","","","","",""
"3JM  INV IN 000","3-J.M. INVESTMENT, INC.","B","LowRisk","Low","","","","","","","","","","",""
"3JM  INV IN 001","3 JM INVESTMENT INC","B","LowRisk","Low","","","","","","","","","","",""
"3MMM PRO LL 000","3MMM PROPERTIES LLC","B","LowRisk","Low","","","","","","","","","","",""
"4100 KIA LL 000","4100 KIAORA LLC","B","LowRisk","Low","","","","","","","","","","",""
"420  GRO IN 000","420 GROUP INC","B","LowRisk","Low","","","","","","","","","","",""
"4212 PO D LB000","4212 PONCE DE LEON BLVD INC","B","LowRisk","Low","","","","","","","","","","",""
"42ND OI GR I000","42ND OIL GROUP, INC.","B","LowRisk","Low","","","","","","","","","","",""
"42ND OI GR I001","42ND OIL GROUP INC","B","LowRisk","Low","","","","","","","","","","",""
"436  NE 3 SI000","436 NE 35TH STREET INC","B","LowRisk","Low","","","","","","","","","","",""
"436  NE 3 SI001","436 NE 35TH STREET,INC.","B","LowRisk","Low","","","","","","","","","","",""
"4600 CO CE I000","4600 COMMERCE CENTER INC","B","LowRisk","Low","","","","","","","","","","",""
"4600 CO CE L000","4600 COMMERCE CENTER LLC","B","LowRisk","Low","","","","","","","","","","",""
"4DIN INV IN 000","4-D INTERNATIONAL INVESTMENT INC","B","LowRisk","Low","","","","","","","","","","",""
"4DIS INC    000","4 D ISLAND INC","B","LowRisk","Low","","","","","","","","","","",""
"4NET NET CO 000","4NET NETWORKING CORP","B","LowRisk","Low","","","","","","","","","","",""
"4SIS RU B CI000","4 SISTERS RUM BALLS AND CATERING IN","B","MediumRisk","Medium","","","","","","","","","Y","",""
"4TH  6TH IN 000","4TH AND 6TH INC","B","LowRisk","Low","","","","","","","","","","",""
"501  50 IN I000","501 & 500 INVESTMENT INC","B","LowRisk","Low","","","","","","","","","","",""
"501  LO HO L000","501 LOFTS HOLDINGS LLC","B","LowRisk","Low","","","","","","","","","","",""
"501  LOF LL 001","501 LOFTS LLC","B","LowRisk","Low","","","","","","","","","","",""
"503  GRO CO 000","503 GROVENOR CORP","B","LowRisk","Low","","","","","","","","","","",""
"504  EXP LL 000","504 EXPRESS LLC","B","LowRisk","Low","","","","","","","","","","",""
"5255 ORD LL 000","5255 ORDUNA LLC","B","LowRisk","Low","","","","","","","","","","",""
"5307 NW 7 SL000","5307 NW 7 ST LLC","B","LowRisk","Low","","","","","","","","","","",""
"5500 SW 8 SP000","5500 SW 8TH ST PROPERTY INC","B","LowRisk","Low","","","","","","","","","","",""
"56OC INC    000","56 OCTANE INC","B","LowRisk","Low","","","","","","","","","","",""
"570  W  2 SL000","570 W. 29 STREET LLC DBA CAQUI''S S","B","LowRisk","Low","","","","","","","","","","",""
"570  W  2 SL001","570 W 29 STREET LLC DBA CAQUIS SUDS","B","LowRisk","Low","","","","","","","","","","",""
"5776 SW 7 TL000","5776 SW 77TH TERRACE LLC","B","LowRisk","Low","","","","","","","","","","",""
"58ST GRO LL 000","58 STREET GROUP LLC","B","MediumRisk","Medium","","","","","","","","","","",""
"5FAM HOL LL 000","5F AMERICAN HOLDING LLC","B","MediumRisk","Medium","","","","","","","","","","",""
"5STA LO I DB000","5 STAR LOGISTICS, INC. D/B/A LAND E","B","LowRisk","Low","","","","","","","","","","",""
"5STA LO I DL000","5 STAR LOGISTICS INC DBA LAND EXPRE","B","LowRisk","Low","","","","","","","","","","",""
"5STA TRU IN 001","5 STAR TRUCKING INC","B","LowRisk","Low","","","","","","","","","","",""
"605  APA LL 000","605 APARTMENTS,LLC.","B","LowRisk","Low","","","","","","","","","","",""
"605  APA LL 001","605 APARTMENTS LLC","B","LowRisk","Low","","","","","","","","","","",""
"6051 AR S AL000","6051 ARTHUR ST APTS LLC","B","LowRisk","Low","","","","","","","","","","",""
"615  5T ST C000","615 5TH STREET  CORP","B","LowRisk","Low","","","","","","","","","","",""
"6303 MI PA L000","6303 MIRAMAR PARKWAY LC","B","LowRisk","Low","","","","","","","","","","",""
"6463 BI RO L000","6463 BIRD ROAD LLC","B","LowRisk","Low","","","","","","","","","","",""
"6600 NW 7 AI000","6600 NW 72 AVENUE INC","B","LowRisk","Low","","","","","","","","","","",""
"6885 95 B AC000","6885-95 BYRON AVE. CORP","B","LowRisk","Low","","","","","","","","","","",""
"6885 95 B AC001","6885-95 BYRON AVE CORP","B","LowRisk","Low","","","","","","","","","","",""
"6930 BY AV L000","6930 BYRON AVE, LLC.","B","LowRisk","Low","","","","","","","","","","",""
"6930 BY AV L001","6930 BYRON AVE LLC","B","LowRisk","Low","","","","","","","","","","",""
"6944 BY AV L000","6944 BYRON AVENUE LLC","B","LowRisk","Low","","","","","","","","","","",""
"6FAM LLC    000","6F AMERICAN LLC","B","MediumRisk","Medium","","","","","","","","","","",""
"7000 INV LL 000","7000 INVESTMENT, LLC","B","LowRisk","Low","","","","","","","","","","",""
"7000 INV LL 001","7000 INVESTMENT LLC","B","LowRisk","Low","","","","","","","","","","",""
"711  PRO LL 000","711 PROPERTY, LLC","B","LowRisk","Low","","","","","","","","","","",""
"717  PON LL 000","717 PONCE, LLC","B","LowRisk","Low","","","","","","","","","","",""
"720  PRO LL 000","720 PROPERTY, LLC","B","LowRisk","Low","","","","","","","","","","",""
"721  HOL LL 000","721 HOLDING LLC","B","LowRisk","Low","","","","","","","","","","",""
"7296 PE EN I000","72/96 PETROLEUM ENTERPRISES INC","B","LowRisk","Low","","","","","","","","","","",""
"7296 PE EN I001","72/96 PETROLEUM ENTERPRISES,INC","B","LowRisk","Low","","","","","","","","","","",""
"740  BU CO A000","THE 740 BUILDING CONDOMINIUM ASSOCI","B","LowRisk","Low","","","","","","","","","","",""
"740  BUI IN 000","740 BUILDING INC","B","MediumRisk","Medium","","","","","","","","","","",""
"750  CUR CO 001","750 CURTISWOOD CORPORATION","B","LowRisk","Low","","","","","","","","","","",""
"7610 BY A HL000","7610 BYRON AVENUE HOLDINGS LLC","B","LowRisk","Low","","","","","","","","","","",""
"77FL 2027   000","77 FL#2027","B","LowRisk","Low","","","","","","","","","","",""
"77FL 2027   001","77 FL 2027","B","LowRisk","Low","","","","","","","","","","",""
"77FL 239 LL 000","77 FL#2391,LLC","B","LowRisk","Low","","","","","","","","","","",""
"77FL 239 LL 001","77 FL 2391 LLC","B","LowRisk","Low","","","","","","","","","","",""
"7871 INC TO 000","7871 INC,TOURS","B","LowRisk","Low","","","","","","","","","","",""
"7871 INC TO 001","7871 INC TOURS","B","LowRisk","Low","","","","","","","","","","",""
"7TH  ST BU I000","7TH STREET BUILDING, INC.","B","LowRisk","Low","","","","","","","","","","",""
"7TH  ST BU I001","7TH STREET BUILDING INC","B","LowRisk","Low","","","","","","","","","","",""
"845  ENT IN 000","845 ENTERPRISE, INC.","B","LowRisk","Low","","","","","","","","","","",""
"845  ENT IN 001","845 ENTERPRISE INC","B","LowRisk","Low","","","","","","","","","","",""
"8701 SOU LL 000","8701 SOUTHWEST LLC","B","LowRisk","Low","","","","","","","","","","",""
"874  PE EN I000","8-74 PETROLEUM ENTERPRISES INC","B","LowRisk","Low","","","","","","","","","","",""
"874  PE EN I002","8-74 PETROLEUM ENTERPRISES,INC","B","LowRisk","Low","","","","","","","","","","",""
"901  AL RO I000","901 ALTON ROAD INC","B","LowRisk","Low","","","","","","","","","","",""
"910  CO C P1001","910 COUNTRY CLUB PRADO & 1021 BAY D","B","LowRisk","Low","","","","","","","","","","",""
"9300 FO R EH000","9300 FORZA REAL ESTATE HOLDINGS LLC","B","MediumRisk","Medium","","","","","","","","","","",""
"942  LE AV L000","942 LENOX AVE LLC","B","LowRisk","Low","","","","","","","","","","",""
"942  LE AV L001","942 LENOX AVENUE LLC","B","LowRisk","Low","","","","","","","","","","",""
"955  PAR LL 000","955 PARTNERS LLC","B","LowRisk","Low","","","","","","","","","","",""
"9800 COR IN 000","9800 CORP INC","B","LowRisk","Low","","","","","","","","","","",""
"9TH  GLYPH  000","9TH GLYPH","B","LowRisk","Low","","","","","","","","","","",""
"A......0H6W.000","HOULZET WILLIAM A","I","DefClass","","","","","","","","","","","",""
"A..OROZ0T4Y.000","A. OROZCO DE TEJEDA TAMMY YANINA","I","IndLowRisk","Low","","","","","","","","","","",""
"A1BU U  S AC000","A-1 BUILDERS U.S.A., CORP.","B","LowRisk","Low","","","","","","","","","","",""
"A1CO INC    000","A-1 CONSTRUCTION, INC.","B","LowRisk","Low","","","","","","","","","","",""
"A1MA GRA IN 000","A 1 MARBLE & GRANITE INC","B","LowRisk","Low","","","","","","","","","","",""
"A1PR GE CO I000","A-1 PRESTIGE GENERAL CONTRACTOR INC","B","LowRisk","Low","","","","","","","","","","",""
"A1PR GE CO I001","A 1 PRESTIGE GENERAL CONTRACTOR, IN","B","LowRisk","Low","","","","","","","","","","",""
"A1PR GE CO L000","A1 PRESTIGE GENERAL CONTRACTOR LLC","B","LowRisk","Low","","","","","","","","","","",""
"A1QU RA GU I000","A-1 QUALITY RAIN GUTTERS,INC.","B","LowRisk","Low","","","","","","","","","","",""
"A1VE PAI IN 000","A1 VELOZ PAINTING, INC","B","LowRisk","Low","","","","","","","","","","",""
"A1VE ROO IN 000","A-1 VELOZ ROOFING, INC.","B","LowRisk","Low","","","","","","","","","","",""
"AAA  AM V TI000","AAA AMBU-VAN TRANSPORT, INC.","B","LowRisk","Low","","","","","","","","","","",""
"AAA  MA SE I000","A.A.A. MACHINERY SERVICES,INC","B","LowRisk","Low","","","","","","","","","","",""
"AAA  MI A PI000","AAA MILLION AUTO PARTS, INC.","B","LowRisk","Low","","","","","","","","","","",""
"AAAS CO S  A000","AAASA CORPORATION S A","B","HighRisk","High","","","","","","","","","","",""
"AABA LO I RI000","AABA LOPEZ INS & REALTY INC.","B","LowRisk","Low","","","","","","","","","","",""
"AAC  36 C  A000","AAC 360, C.A.","B","LowRisk","Low","","","","","","","","","","",""
"AAC 36 C A000","AAC 360  C A","B","LowRisk","Low","","","","","","","","","","",""
"AAHO SO FL I000","A & A HOLDINGS OF SOUTH FLORIDA INC","B","LowRisk","Low","","","","","","","","","","",""
"AAM  IN 2  L000","AAM INVESTMENTS 2 LLC","B","LowRisk","Low","","","","","","","","","","",""
"AAM  INV LL 000","AAM INVESTMENTS LLC","B","LowRisk","Low","","","","","","","","","","",""
"AAMO FLO IN 000","AAMOR FLORES INC","B","LowRisk","Low","","","","","","","","","","",""
"AAPR MI E II000","AAPRISA MIAMI EXPORT & IMPORT INC","B","LowRisk","Low","","","","","","","","","","",""
"AARA DEVEL  002","AARAGON DEVELOPMENT","B","LowRisk","Low","","","","","","","","","","",""
"AARA INV LL 000","AARAGON INVESTMENTS LLC","B","LowRisk","Low","","","","","","","","","","",""
"AARE CO D BA000","A A R E CORPORATION D/B/A","B","LowRisk","Low","","","","","","","","","","",""
"ABA  ME SE I000","ABA MEDICAL SERVICES INC","B","LowRisk","Low","","","","","","","","","","",""
"ABAC IN GR I000","ABACOA INSURANCE GROUP INC","B","LowRisk","Low","","","","","","","","","","Y",""
"ABAD-AB2M5H.000","ABAD-ABAD MARTIN HERNANDO","I","IndLowRisk","Low","","","","","","","","","","",""
"ABAD...0A5..000","ABAD ACELIA","I","IndLowRisk","Low","","","","","","","","","","",""
"ABAD...0C6..000","ABAD CORALIA","I","IndLowRisk","Low","","","","","","","","","","",""
"ABAD...0G6M.000","ABAD GISLEDA M","I","IndLowRisk","Low","","","","","","","","","","",""
"ABAD...0M5A.000","ABAD MIGUEL ANGEL","I","IndLowRisk","Low","","","","","","","","","","",""
"ABAD...0M5A.001","ABAD MIGUEL A","I","IndLowRisk","Low","","","","","","","","","","",""
"ABAD.GU6P4D.000","ABAD GUTIERREZ PABLO DANIEL","I","IndLowRisk","Low","","","","","","","","","","",""
"ABADIN.0J3R.000","ABADIN JOSE R","I","IndLowRisk","Low","","","","","","","","","","",""
"ABADIN.0L6R.000","ABADIN LOURDES R","I","IndLowRisk","Low","","","","","","","","","","",""
"ABADIN.0N3..000","ABADIN NORA","I","IndLowRisk","Low","","","","","","","","","","",""
"ABADIN.7J3A.000","OR JOSE A ABADIN EMILIA C ABADIN","I","IndLowRisk","Low","","","","","","","","","","",""
"ABALIA.0G4..000","ABALIA GILDA","I","IndLowRisk","Low","","","","","","","","","","",""
"ABALIA.0L6..000","ABALIA LOURDES","I","IndLowRisk","Low","","","","","","","","","","",""
"ABALIA.0M4..000","ABALIA MAILE","I","IndLowRisk","Low","","","","","","","","","","",""
"ABAN PRO IN 000","ABANICO PRODUCTIONS INC","B","LowRisk","Low","","","","","","","","","","",""
"ABAP SER IN 000","A & B APPRAISAL SERVICES INC","B","LowRisk","Low","","","","","","","","","","",""
"ABARCA.6A2M.000","ABARCA SALAZAR ANA MARIA","I","IndLowRisk","Low","","","","","","","","","","",""
"ABARCA.6C8R.000","ARTAVIA CHRISTIAN R ABARCA","I","IndLowRisk","Low","","","","","","","","","","",""
"ABARZUA0M4C.000","ABARZUA MARIA CONSUELO","I","IndLowRisk","Low","","","","","","","","","","",""
"ABASCAL0A2R.000","ABASCAL ANA R","I","IndLowRisk","Low","","","","","","","","","","",""
"ABASCAL0F8..000","ABASCAL FRANCISCO M","I","IndLowRisk","Low","","","","","","","","","","",""
"ABASCAL0F8..001","ABASCAL FRANCISCO","I","IndLowRisk","Low","","","","","","","","","","",""
"ABASCAL0J4A.000","ABASCAL JORGE A","I","IndLowRisk","Low","","","","","","","","","","",""
"ABASCAL0M5..000","ABASCAL MARLEN","I","IndLowRisk","Low","","","","","","","","","","",""
"ABASCAL0M7J.000","ABASCAL MAURICIO J.","I","IndLowRisk","Low","","","","","","","","","","",""
